TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
SMAD3	11	1.24557921502e-11	0.0206081102412	0.0732249439963	1.25818771478e-20	6.14605856096e-13	2.3858365027e-06	0.461116678379	4.79474720084e-09	0.000329026010621	1.87078386037e-30	3.04592169086e-19	0.00505913631739	1.30068451218e-07	2.15298041307e-23	1.3233702009e-20
REL	5	3.34466971899e-07	0.00174267801505	8.53030882401e-07	2.59441701672e-13	7.16670942325e-06	4.79273798912e-10	0.0012903016966	7.64302261707e-09	0.0151186858523	0.000540226075422	2.39493251302e-10	8.41076081837e-15	0.00776049472001	4.25148715779e-06	3.0918279642e-08
UTF1	3	4.42529026438e-08	0.0129494136842	0.000768672379661	6.17461323468e-10	2.76230682789e-09	8.65034000164e-07	0.018437497204	4.59989431296e-07	0.449272340556	5.92971404373e-15	3.95566444863e-16	0.000353803403211	6.56013059891e-07	1.09881206071e-12	3.29964965241e-15
NCOA3	1	0.312413249019	0.208259285823	0.287660221124	0.425321790846	0.421754345788	0.446923201212	0.25198209208	0.164570706968	0.108447851195	0.371389233003	0.45643603928	0.482236310912	0.410700410497	0.301349427268	0.386109161247
NCOA1	1	0.0108375076781	0.000944047962402	0.000168370608137	0.00315870280812	0.102812988367	0.00162089835573	0.00112217659287	0.409701036258	0.000343885675003	0.000777225047381	0.0622102550838	0.140870845038	0.0661461402948	0.13778523414	0.375456437076
KANL3	4	1.74882123512e-17	1.41153653086e-06	3.467690447e-07	1.20069492386e-31	3.19808133564e-18	3.72915442995e-23	0.0958703981175	4.3462354742e-10	9.06230131588e-11	1.3834946167e-46	4.52040294932e-18	0.201257970362	1.5000783123e-10	4.85806635499e-35	1.03097822602e-23
SMC3	12	2.80450820524e-08	0.00157307999496	0.00605179162794	5.49379064009e-17	1.26298233877e-14	1.49336734439e-07	0.000153509191271	1.105152516e-12	0.115009492121	2.75153391443e-16	3.94363579469e-10	0.45237453552	0.000791283716376	1.09175551913e-10	2.28142119225e-09
SMC5	5	1.98558595252e-10	2.16832576175e-06	0.0129017766379	1.05385331756e-24	1.24449182988e-23	1.18284986038e-25	6.18030672661e-05	1.56907920473e-21	0.490379619496	3.64796962564e-11	0.15615076415	3.79941683823e-09	3.74913229238e-06	0.000485345656388	0.00182173122867
PO2F2	1	0.0455527694006	0.216209712995	0.0725159649349	0.0117889802137	0.0353897716925	0.0776085409778	0.110304084517	0.00205046271104	0.207945254388	0.0082855219977	0.173679105367	0.302298461731	0.00192389673743	0.0257116989313	0.322423169373
ELL3	1	0.00147579880206	0.10962314421	0.232956214225	3.0599796648e-07	0.0280655152006	0.326836553866	0.140769117759	0.00228499049056	0.00794798589805	2.3423643349e-08	3.70231926464e-05	0.0439937277754	0.00601472222179	4.3932423255e-05	0.000125838266731
ELL2	3	0.0531279771935	0.431571912238	0.185863959018	0.000681897681155	0.00248221781573	0.343136281289	0.346406644542	0.0235650789381	0.00747523805215	0.0227062128547	0.0375901936223	0.476086427564	0.0963123706779	0.171976352267	0.07459604788
MECP2	8	0.00046161437909	0.469112658548	1.46335569342e-07	0.419490781405	0.0378687530423	0.110736278286	0.000281558757285	0.000413930388014	0.0021901142546	0.000296614506707	2.98625329744e-08	0.00025162479949	0.00238395476297	0.000243254411886	5.00721068675e-07
RXRA	33	2.26429501929e-13	1.01534874999e-08	0.000703739609189	4.43065003933e-16	1.35041966088e-21	1.16196792062e-22	0.0222284258869	1.63788420703e-21	0.0236832272137	1.9664954277e-18	2.0529744404e-10	0.031441296149	1.85118160071e-07	1.5082294362e-18	6.13448962851e-31
